,fluxes,kcat,MW,kcat_MW,equ
ALATA_D2_num1,0.0,9300.5069976,90.6332,102.61699904229354,ala__D_c + pydx5p_c --> pyam5p_c + pyr_c
SHCHD2,8.21777539570741e-05,1224.0,99.9028,12.251908855407455,dscl_c + nad_c --> h_c + nadh_c + scl_c
CPPPGO,8.21777539570741e-05,900.0,68.6453,13.110875762798036,cpppg3_c + 2.0 h_c + o2_c --> 2.0 co2_c + 2.0 h2o_c + pppg9_c
GTHOr,0.00964243547103498,25901.6161428,97.545,265.53504682761803,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c
DHORD5,0.0,38657.174040000005,36.7745,1051.195095514555,dhor__S_c + mqn8_c --> mql8_c + orot_c
GLYCTO2,0.00016435550791411857,50485.468176,137.2828,367.7479493133881,glyclt_c + q8_c --> glx_c + q8h2_c
GLYCTO3,0.0,57086.121564,137.2828,415.8286512512856,glyclt_c + mqn8_c --> glx_c + mql8_c
GLYCTO4,0.0,117077.842044,137.2828,852.8223640834831,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c
PFK_3,0.0,208800.0,139.3682,1498.1896874609847,atp_c + s7p_c --> adp_c + h_c + s17bp_c
TRPS2,0.0,9309.2050944,143.4143,64.91127519640649,indole_c + ser__L_c --> h2o_c + trp__L_c
G3PD5_num1,0.0,60326.17992,148.4235,406.4462832368189,glyc3p_c + q8_c --> dhap_c + q8h2_c
EX_acgam_e,0.0,,,,acgam_e --> 
EX_cellb_e,0.0,,,,cellb_e --> 
EX_chol_e,0.0,,,,chol_e --> 
LEUTAi_num1,0.0,54098.622612,204.5619,264.46089233625617,4mop_c + glu__L_c --> akg_c + leu__L_c
SHK3Dr,0.14044620363392873,46104.63948,29.4136,1567.459932820192,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c
G5SD,0.08146100179812113,50400.0,178.5202,282.3209922462556,glu5p_c + h_c + nadph_c --> glu5sa_c + nadp_c + pi_c
ALATA_L2_num1,0.0,22488.0471504,145.9788,154.05008912527023,ala__L_c + pydx5p_c --> pyam5p_c + pyr_c
MAN6PI,0.0,39462.133968,42.85,920.9366153558926,man6p_c --> f6p_c
APRAUR,0.0001643555079141482,1152.0,80.6766,14.279233383657717,5apru_c + h_c + nadph_c --> 5aprbu_c + nadp_c
DB4PS,0.0003287110158282964,1224.0,46.7069,26.205978131710733,ru5p__D_c --> db4p_c + for_c + h_c
RBFK,8.21777539570741e-05,324.0,34.7343,9.327955364006185,atp_c + ribflv_c --> adp_c + fmn_c + h_c
ACP1_FMN_num1,0.0,23467.2357204,30.3709,772.6881890362156,fmn_c + h2o_c --> pi_c + ribflv_c
RBFSb,0.0001643555079141482,108.0,70.3347,1.5355151866717285,2.0 dmlz_c --> 4r5au_c + ribflv_c
EX_pi_e,0.0,,,,pi_e --> 
EX_h_e,16.55695730256355,,,,h_e --> 
DMATT,0.00010244580986576931,432.0,32.1596,13.433002898045997,dmpp_c + ipdp_c --> grdp_c + ppi_c
GRTT,0.00010244580986576931,432.0,32.1596,13.433002898045997,grdp_c + ipdp_c --> frdp_c + ppi_c
UPP3S,0.0001643555079141482,3600.0,27.7979,129.50618571906512,hmbil_c --> h2o_c + uppg3_c
